FDC_ID,Calories,Fat,Cholesterol,Sodium,Carb,Fiber,Sugar,Protein,Potassium,Iron,Calcium,Vitamin_A,Vitamin_B6,Vitamin_B12,Vitamin_C,Vitamin_D,Vitamin_E
323607,-1,-1,86.0,-1,-1,-1,-1,77.0,1.47,5.0,-1,-1,-1,-1,-1,-1,-1
323624,-1,-1,133.0,-1,-1,-1,-1,154.0,0.0,7.0,-1,-1,-1,-1,-1,-1,-1
323631,-1,-1,148.0,-1,-1,-1,-1,139.0,0.0,20.0,-1,-1,-1,-1,-1,-1,-1
323638,-1,-1,128.0,-1,-1,-1,-1,166.0,0.0,9.0,-1,-1,-1,-1,-1,-1,-1
323643,-1,-1,138.0,-1,-1,-1,-1,126.0,0.0,6.0,-1,-1,-1,-1,-1,-1,-1
323648,-1,-1,152.0,-1,-1,-1,-1,136.0,0.0,8.0,-1,-1,-1,-1,-1,-1,-1
323654,-1,-1,153.0,-1,-1,-1,-1,138.0,0.0,8.0,-1,-1,-1,-1,-1,-1,-1
323660,-1,-1,154.0,-1,-1,-1,-1,101.0,0.0,7.0,-1,-1,-1,-1,-1,-1,-1
323666,-1,-1,158.0,-1,-1,-1,-1,132.0,0.0,9.0,-1,-1,-1,-1,-1,-1,-1
323671,-1,-1,159.0,-1,-1,-1,-1,122.0,1.49,7.0,-1,-1,-1,-1,-1,-1,-1
323676,-1,-1,152.0,-1,-1,-1,-1,114.0,0.0,10.0,-1,-1,-1,-1,-1,-1,-1
323684,-1,-1,153.0,-1,-1,-1,-1,145.0,0.0,8.0,-1,-1,-1,-1,-1,-1,-1
323689,-1,-1,142.0,-1,-1,-1,-1,128.0,0.0,10.0,-1,-1,-1,-1,-1,-1,-1
323694,-1,-1,164.0,-1,-1,-1,-1,87.0,0.0,10.0,-1,-1,-1,-1,-1,-1,-1
323702,-1,-1,1200.0,-1,-1,-1,-1,948.0,0.0,152.0,-1,-1,-1,-1,-1,-1,-1
323707,-1,-1,1230.0,-1,-1,-1,-1,868.0,0.0,168.0,-1,-1,-1,-1,-1,-1,-1
323715,-1,-1,1230.0,-1,-1,-1,-1,881.0,0.0,128.0,-1,-1,-1,-1,-1,-1,-1
323720,-1,-1,1160.0,-1,-1,-1,-1,939.0,0.0,113.0,-1,-1,-1,-1,-1,-1,-1
