fdc_id,data_type,description,food_category_id,publication_date
323607,sub_sample_food, Egg whites,1,4/1/2019
323613,sub_sample_food, Egg whites,1,4/1/2019
323619,sub_sample_food, Egg whites,1,4/1/2019
323624,sub_sample_food, Egg whites,1,4/1/2019
323631,sub_sample_food, Egg whites,1,4/1/2019
323638,sub_sample_food, Egg whites,1,4/1/2019
323643,sub_sample_food, Egg whites,1,4/1/2019
323648,sub_sample_food, Egg whites,1,4/1/2019
323654,sub_sample_food, Egg whites,1,4/1/2019
323660,sub_sample_food, Egg whites,1,4/1/2019
323666,sub_sample_food, Egg whites,1,4/1/2019
323671,sub_sample_food, Egg whites,1,4/1/2019
323676,sub_sample_food, Egg whites,1,4/1/2019
323684,sub_sample_food, Egg whites,1,4/1/2019
323689,sub_sample_food, Egg whites,1,4/1/2019
323694,sub_sample_food, Egg whites,1,4/1/2019
323702,sub_sample_food," Egg whites, dried",1,4/1/2019
323707,sub_sample_food," Egg whites, dried",1,4/1/2019
323715,sub_sample_food," Egg whites, dried",1,4/1/2019
323720,sub_sample_food," Egg whites, dried",1,4/1/2019
323726,sub_sample_food," Egg whites, dried",1,4/1/2019
323732,sub_sample_food," Egg whites, dried",1,4/1/2019
323739,sub_sample_food," Egg whites, dried",1,4/1/2019
323744,sub_sample_food," Egg whites, dried",1,4/1/2019
323763,sub_sample_food," Egg whites, dried",1,4/1/2019
323750,sub_sample_food," Egg whites, dried",1,4/1/2019
323756,sub_sample_food," Egg whites, dried",1,4/1/2019
323771,sub_sample_food," Egg whites, dried",1,4/1/2019
323777,sub_sample_food," Egg whites, dried",1,4/1/2019
323783,sub_sample_food," Egg whites, dried",1,4/1/2019
323789,sub_sample_food," Egg whites, dried",1,4/1/2019
329495,sub_sample_food, Egg yolk,1,4/1/2019
329501,sub_sample_food, Egg yolk,1,4/1/2019
329508,sub_sample_food, Egg yolk,1,4/1/2019
329515,sub_sample_food, Egg yolk,1,4/1/2019
329522,sub_sample_food, Egg yolk,1,4/1/2019
329530,sub_sample_food, Egg yolk,1,4/1/2019
329537,sub_sample_food, Egg yolk,1,4/1/2019
329543,sub_sample_food, Egg yolk,1,4/1/2019
329550,sub_sample_food, Egg yolk,1,4/1/2019
329558,sub_sample_food, Egg yolk,1,4/1/2019
329565,sub_sample_food, Egg yolk,1,4/1/2019
329571,sub_sample_food, Egg yolk,1,4/1/2019
329578,sub_sample_food, Egg yolk,1,4/1/2019
329585,sub_sample_food, Egg yolk,1,4/1/2019
329592,sub_sample_food, Egg yolk,1,4/1/2019
329607,sub_sample_food," Egg yolks, dried",1,4/1/2019
329614,sub_sample_food," Egg yolks, dried",1,4/1/2019
329629,sub_sample_food," Egg yolks, dried",1,4/1/2019
329635,sub_sample_food," Egg yolks, dried",1,4/1/2019
329642,sub_sample_food," Egg yolks, dried",1,4/1/2019
329656,sub_sample_food," Egg yolks, dried",1,4/1/2019
329692,sub_sample_food," Egg yolks, dried",1,4/1/2019
329706,sub_sample_food," Egg yolks, dried",1,4/1/2019
329712,sub_sample_food," Egg yolks, dried",1,4/1/2019
323510,sub_sample_food, Whole eggs,1,4/1/2019
323517,sub_sample_food, Whole eggs,1,4/1/2019
323523,sub_sample_food, Whole eggs,1,4/1/2019
323530,sub_sample_food, Whole eggs,1,4/1/2019
323537,sub_sample_food, Whole eggs,1,4/1/2019
323544,sub_sample_food, Whole eggs,1,4/1/2019
323552,sub_sample_food, Whole eggs,1,4/1/2019
323558,sub_sample_food, Whole eggs,1,4/1/2019
323566,sub_sample_food, Whole eggs,1,4/1/2019
323573,sub_sample_food, Whole eggs,1,4/1/2019
323579,sub_sample_food, Whole eggs,1,4/1/2019
323586,sub_sample_food, Whole eggs,1,4/1/2019
323593,sub_sample_food, Whole eggs,1,4/1/2019
323600,sub_sample_food, Whole eggs,1,4/1/2019
329412,sub_sample_food," Whole eggs, dried",1,4/1/2019
329416,sub_sample_food," Whole eggs, dried",1,4/1/2019
329437,sub_sample_food," Whole eggs, dried",1,4/1/2019
329445,sub_sample_food," Whole eggs, dried",1,4/1/2019
329466,sub_sample_food," Whole eggs, dried",1,4/1/2019
329458,sub_sample_food," Whole eggs, dried",1,4/1/2019
329479,sub_sample_food," Whole eggs, dried",1,4/1/2019
329487,sub_sample_food," Whole eggs, dried",1,4/1/2019
340680,survey_fndds_food,"100 % Natural Cereal, with oats, honey and raisins, Quaker",,4/1/2019
340681,survey_fndds_food,"100 % Natural Wholegrain Cereal with raisins, lowfat, Quaker",,4/1/2019
344100,survey_fndds_food,100 GRAND Bar,,4/1/2019
340679,survey_fndds_food,"100% Natural Cereal, plain, Quaker",,4/1/2019
344120,survey_fndds_food,3 MUSKETEERS Bar,,4/1/2019
344121,survey_fndds_food,3 Musketeers Truffle Crisp Bar,,4/1/2019
337889,survey_fndds_food,"Abalone, cooked, NS as to cooking method",,4/1/2019
337890,survey_fndds_food,"Abalone, floured or breaded, fried",,4/1/2019
337891,survey_fndds_food,"Abalone, steamed or poached",,4/1/2019
167782,sr_legacy_food,"Abiyuch, raw",9,4/1/2019
171687,sr_legacy_food,"Acerola juice, raw",9,4/1/2019
171686,sr_legacy_food,"Acerola, (west indian cherry), raw",9,4/1/2019
168061,sr_legacy_food,Acorn stew (Apache),24,4/1/2019
341107,survey_fndds_food,Adobo (Filipino dish) with noodles,,4/1/2019
341169,survey_fndds_food,Adobo (Filipino dish) with rice,,4/1/2019
168992,sr_legacy_food,"Agave, cooked (Southwest)",24,4/1/2019
168993,sr_legacy_food,"Agave, dried (Southwest)",24,4/1/2019
169814,sr_legacy_food,"Agave, raw (Southwest)",24,4/1/2019
169823,sr_legacy_food,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",24,4/1/2019
168976,sr_legacy_food,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",24,4/1/2019
168977,sr_legacy_food,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",24,4/1/2019
340058,survey_fndds_food,"Air filled fritter or fried puff, without syrup, Puerto Rican style (Bunuelos de viento)",,4/1/2019
168749,sr_legacy_food,"Alcoholic beverage, beer, light",14,4/1/2019
169572,sr_legacy_food,"Alcoholic beverage, beer, light, BUD LIGHT",14,4/1/2019
