fdc_id,data_type,description,food_category_id,publication_date,,,,
323607,sub_sample_food, Egg whites,1,4/1/2019323619,sub_sample_food, Egg whites,1,4/1/2019
323624,sub_sample_food, Egg whites,1,4/1/2019,,,,
323631,sub_sample_food, Egg whites,1,4/1/2019,,,,
323638,sub_sample_food, Egg whites,1,4/1/2019,,,,
323643,sub_sample_food, Egg whites,1,4/1/2019,,,,
323648,sub_sample_food, Egg whites,1,4/1/2019,,,,
323654,sub_sample_food, Egg whites,1,4/1/2019,,,,
323660,sub_sample_food, Egg whites,1,4/1/2019,,,,
323666,sub_sample_food, Egg whites,1,4/1/2019,,,,
323671,sub_sample_food, Egg whites,1,4/1/2019,,,,
323676,sub_sample_food, Egg whites,1,4/1/2019,,,,
323684,sub_sample_food, Egg whites,1,4/1/2019,,,,
323689,sub_sample_food, Egg whites,1,4/1/2019,,,,
323694,sub_sample_food, Egg whites,1,4/1/2019,,,,
323702,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323707,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323715,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323720,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323726,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323732,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323739,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323744,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323763,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323750,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323756,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323771,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323777,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323783,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
323789,sub_sample_food, Egg whites; dried,1,4/1/2019,,,,
329495,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329501,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329508,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329515,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329522,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329530,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329537,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329543,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329550,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329558,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329565,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329571,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329578,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329585,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329592,sub_sample_food, Egg yolk,1,4/1/2019,,,,
329607,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329614,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329629,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329635,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329642,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329656,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329692,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329706,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
329712,sub_sample_food, Egg yolks; dried,1,4/1/2019,,,,
323510,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323517,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323523,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323530,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323537,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323544,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323552,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323558,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323566,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323573,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323579,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323586,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323593,sub_sample_food, Whole eggs,1,4/1/2019,,,,
323600,sub_sample_food, Whole eggs,1,4/1/2019,,,,
