FDC_ID,Calories,Fat,Cholesterol,Sodium,Carb,Fiber,Sugar,Protein,Potassium,Iron,Calcium,Vitamin_A,Vitamin_B6,Vitamin_B12,Vitamin_C,Vitamin_D,Vitamin_E
323607,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323624,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323631,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323638,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323643,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323648,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323654,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323660,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323666,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323671,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323676,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323684,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323689,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323694,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323702,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323707,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323715,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323720,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323726,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323732,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323739,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323744,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323763,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323750,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323756,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323771,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323777,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323783,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323789,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329495,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329501,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329508,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329515,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329522,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329530,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329537,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329543,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329550,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329558,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329565,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329571,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329578,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329585,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329592,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329607,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329614,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329629,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329635,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329642,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329656,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329692,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329706,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329712,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323510,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323517,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323523,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323530,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323537,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323544,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323552,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323558,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323566,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323573,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323579,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323586,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323593,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
323600,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329412,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329416,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329437,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329445,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
329466,-1,-1,-1,mg,-1,-1,-1,-1,mg,mg,mg,-1,-1,-1,-1,-1,-1
